iter	Passed	Remaining
951	3265	164
952	3272	161
953	3276	157
954	3279	154
955	3282	151
956	3287	147
957	3290	144
958	3293	140
959	3296	137
960	3300	133
961	3304	130
962	3307	127
963	3310	123
964	3313	120
965	3316	116
966	3319	113
967	3322	109
968	3325	106
969	3329	102
970	3332	99
971	3335	96
972	3338	92
973	3341	89
974	3344	85
975	3348	82
976	3351	78
977	3354	75
978	3357	72
979	3361	68
980	3364	65
981	3367	61
982	3370	58
983	3374	54
984	3378	51
985	3381	48
986	3384	44
987	3387	41
988	3390	37
989	3394	34
990	3400	30
991	3405	27
992	3408	24
993	3411	20
994	3415	17
995	3418	13
996	3421	10
997	3424	6
998	3427	3
999	3430	0
